variant,input_order,size,mean_comparisons,mean_movements,median_time_us
middle-pivot,ascending,50000,750015,98301,1008
middle-pivot,ascending,100000,1600016,196605,2320
middle-pivot,ascending,200000,3400017,393213,4559
middle-pivot,descending,50000,750028,173298,1043
middle-pivot,descending,100000,1600030,346602,2257
middle-pivot,descending,200000,3400032,693210,4658
middle-pivot,random,50000,1046358,597634,4247
middle-pivot,random,100000,2209840,1266762,8779
middle-pivot,random,200000,4788211,2664725,18691
median-of-three,ascending,50000,750015,98301,1016
median-of-three,ascending,100000,1600016,196605,2161
median-of-three,ascending,200000,3400017,393213,4554
median-of-three,descending,50000,750028,173298,1011
median-of-three,descending,100000,1600030,346602,2152
median-of-three,descending,200000,3400032,693210,4628
median-of-three,random,50000,949604,614715,4043
median-of-three,random,100000,2041936,1297820,8876
median-of-three,random,200000,4319563,2740573,18901
first-pivot,ascending,50000,1250074998,149997,303987
first-pivot,descending,50000,1250099996,149997,1527434
first-pivot,random,50000,1164553,602233,4292
first-pivot,random,100000,2503191,1271884,8994
first-pivot,random,200000,5314050,2686111,18806
hybrid-1,ascending,50000,399752,50254,993
hybrid-1,ascending,100000,799752,100254,969
hybrid-1,ascending,200000,1599752,200254,1938
hybrid-1,descending,50000,399758,125252,509
hybrid-1,descending,100000,799758,250252,933
hybrid-1,descending,200000,1599758,500252,1869
hybrid-1,random,50000,4744749,4560726,3990
hybrid-1,random,100000,17912357,17520189,12306
hybrid-1,random,200000,69898913,69134185,40829
hybrid-5,ascending,50000,299942,50062,362
hybrid-5,ascending,100000,599942,100062,724
hybrid-5,ascending,200000,1199942,200062,1457
hybrid-5,descending,50000,299946,125060,345
hybrid-5,descending,100000,599946,250060,690
hybrid-5,descending,200000,1199946,500060,1445
hybrid-5,random,50000,21347338,21222694,11673
hybrid-5,random,100000,84332310,84060205,43080
hybrid-5,random,200000,340619245,340103662,167346
hybrid-10,ascending,50000,249973,50030,303
hybrid-10,ascending,100000,499973,100030,604
hybrid-10,ascending,200000,999973,200030,1213
hybrid-10,descending,50000,249976,125028,285
hybrid-10,descending,100000,499976,250028,567
hybrid-10,descending,200000,999976,500028,1307
hybrid-10,random,50000,43552107,43453881,22073
hybrid-10,random,100000,176059593,175843867,86617
hybrid-10,random,200000,682077326,681668480,343391
iterative,ascending,50000,750015,98301,1186
iterative,ascending,100000,1600016,196605,2460
iterative,ascending,200000,3400017,393213,5190
iterative,descending,50000,750028,173298,1206
iterative,descending,100000,1600030,346602,2597
iterative,descending,200000,3400032,693210,5301
iterative,random,50000,1046358,597634,4520
iterative,random,100000,2209840,1266762,9206
iterative,random,200000,4788211,2664725,19985
