variant,input_order,size,mean_comparisons,mean_movements,median_time_us
middle-pivot,ascending,50000,750015,98301,1003
middle-pivot,ascending,100000,1600016,196605,2131
middle-pivot,ascending,200000,3400017,393213,4520
middle-pivot,descending,50000,750028,173298,1006
middle-pivot,descending,100000,1600030,346602,2167
middle-pivot,descending,200000,3400032,693210,4684
middle-pivot,random,50000,1046358,597634,4292
middle-pivot,random,100000,2209840,1266762,8816
middle-pivot,random,200000,4788211,2664725,18793
median-of-three,ascending,50000,750015,98301,1018
median-of-three,ascending,100000,1600016,196605,2204
median-of-three,ascending,200000,3400017,393213,4570
median-of-three,descending,50000,750028,173298,1010
median-of-three,descending,100000,1600030,346602,2215
median-of-three,descending,200000,3400032,693210,4583
median-of-three,random,50000,949604,614715,4191
median-of-three,random,100000,2041936,1297820,8834
median-of-three,random,200000,4319563,2740573,18769
first-pivot,ascending,50000,1250074998,149997,307569
first-pivot,descending,50000,1250099996,149997,1531815
first-pivot,random,50000,1164553,602233,4252
first-pivot,random,100000,2503191,1271884,8985
first-pivot,random,200000,5314050,2686111,18954
hybrid-1,ascending,50000,399752,50254,487
hybrid-1,ascending,100000,799752,100254,969
hybrid-1,ascending,200000,1599752,200254,1939
hybrid-1,descending,50000,399758,125252,470
hybrid-1,descending,100000,799758,250252,1196
hybrid-1,descending,200000,1599758,500252,2559
hybrid-1,random,50000,4744749,4560726,4073
hybrid-1,random,100000,17912357,17520189,12195
hybrid-1,random,200000,69898913,69134185,41438
hybrid-5,ascending,50000,299942,50062,367
hybrid-5,ascending,100000,599942,100062,728
hybrid-5,ascending,200000,1199942,200062,1474
hybrid-5,descending,50000,299946,125060,522
hybrid-5,descending,100000,599946,250060,695
hybrid-5,descending,200000,1199946,500060,1421
hybrid-5,random,50000,21347338,21222694,11614
hybrid-5,random,100000,84332310,84060205,43178
hybrid-5,random,200000,340619245,340103662,169073
hybrid-10,ascending,50000,249973,50030,303
hybrid-10,ascending,100000,499973,100030,604
hybrid-10,ascending,200000,999973,200030,1220
hybrid-10,descending,50000,249976,125028,437
hybrid-10,descending,100000,499976,250028,566
hybrid-10,descending,200000,999976,500028,1168
hybrid-10,random,50000,43552107,43453881,22176
hybrid-10,random,100000,176059593,175843867,88276
hybrid-10,random,200000,682077326,681668480,348415
iterative,ascending,50000,750015,98301,1178
iterative,ascending,100000,1600016,196605,2474
iterative,ascending,200000,3400017,393213,5140
iterative,descending,50000,750028,173298,1184
iterative,descending,100000,1600030,346602,2443
iterative,descending,200000,3400032,693210,5233
iterative,random,50000,1046358,597634,4533
iterative,random,100000,2209840,1266762,9409
iterative,random,200000,4788211,2664725,20033
