variant,input_order,size,mean_comparisons,mean_movements,median_time_us
QC, Ale, 50000, 1042680, 199210, 3932
QC, Ale, 100000, 2214675, 422058, 8302
QC, Ale, 150000, 3429640, 654046, 12551
QC, Ale, 200000, 4709620, 890200, 17034
QC, Ale, 250000, 6074090, 1129081, 21636
QC, Ale, 300000, 7388598, 1375058, 26335
QC, Ale, 350000, 8756934, 1619587, 30923
QC, Ale, 400000, 9977923, 1873816, 35893
QC, Ale, 450000, 11372309, 2123903, 41657
QC, Ale, 500000, 12699118, 2378819, 46735
QC, OrdC, 50000, 750015, 32766, 832
QC, OrdC, 100000, 1600016, 65535, 1514
QC, OrdC, 150000, 2456803, 84463, 2203
QC, OrdC, 200000, 3400017, 131071, 3151
QC, OrdC, 250000, 4250017, 131071, 3697
QC, OrdC, 300000, 5213588, 168927, 4662
QC, OrdC, 350000, 6213588, 218927, 5699
QC, OrdC, 400000, 7200018, 262142, 6717
QC, OrdC, 450000, 8100018, 262142, 7504
QC, OrdC, 500000, 9000018, 262142, 8002
QC, OrdD, 50000, 750028, 57766, 762
QC, OrdD, 100000, 1600030, 115533, 1614
QC, OrdD, 150000, 2456820, 159464, 2706
QC, OrdD, 200000, 3400032, 231070, 3420
QC, OrdD, 250000, 4250032, 256070, 4029
QC, OrdD, 300000, 5213606, 318928, 4947
QC, OrdD, 350000, 6213606, 393928, 5988
QC, OrdD, 400000, 7200034, 462141, 7377
QC, OrdD, 450000, 8100034, 487141, 7743
QC, OrdD, 500000, 9000034, 512141, 10886
QM3, Ale, 50000, 1025920, 199874, 3899
QM3, Ale, 100000, 2221797, 421813, 8116
QM3, Ale, 150000, 3474270, 652771, 12561
QM3, Ale, 200000, 4729138, 889874, 17002
QM3, Ale, 250000, 6031625, 1130653, 21647
QM3, Ale, 300000, 7258986, 1378090, 26292
QM3, Ale, 350000, 8578719, 1625245, 31027
QM3, Ale, 400000, 9905098, 1876998, 36696
QM3, Ale, 450000, 11481036, 2120553, 40842
QM3, Ale, 500000, 12778159, 2374130, 47024
QM3, OrdC, 50000, 750015, 32766, 999
QM3, OrdC, 100000, 1600016, 65535, 1969
QM3, OrdC, 150000, 2456803, 84463, 2353
QM3, OrdC, 200000, 3400017, 131071, 3286
QM3, OrdC, 250000, 4250017, 131071, 3652
QM3, OrdC, 300000, 5213588, 168927, 4636
