variant,input_order,size,mean_comparisons,mean_movements,median_time_us
QC, Ale, 50000, 1043875, 598029, 4174
QC, Ale, 100000, 2209585, 1268354, 9334
QC, Ale, 150000, 3484752, 1955589, 14234
QC, Ale, 200000, 4674343, 2677033, 20545
QC, Ale, 250000, 6042034, 3391752, 23347
QC, Ale, 300000, 7330280, 4130670, 28980
QC, Ale, 350000, 8683930, 4870359, 31534
QC, Ale, 400000, 10049108, 5619561, 36429
QC, Ale, 450000, 11364897, 6375269, 41284
QC, Ale, 500000, 12670147, 7143248, 46114
QC, OrdC, 50000, 750015, 98301, 1468
QC, OrdC, 100000, 1600016, 196605, 1525
QC, OrdC, 150000, 2456803, 253392, 2206
QC, OrdC, 200000, 3400017, 393213, 3161
QC, OrdC, 250000, 4250017, 393213, 3708
QC, OrdC, 300000, 5213588, 506784, 4670
QC, OrdC, 350000, 6213588, 656783, 5599
QC, OrdC, 400000, 7200018, 786428, 7046
QC, OrdC, 450000, 8100018, 786428, 8516
QC, OrdC, 500000, 9000018, 786428, 8365
QC, OrdD, 50000, 750028, 173297, 813
QC, OrdD, 100000, 1600030, 346601, 1689
QC, OrdD, 150000, 2456820, 478391, 2558
QC, OrdD, 200000, 3400032, 693210, 4366
QC, OrdD, 250000, 4250032, 768210, 5442
QC, OrdD, 300000, 5213606, 956783, 6293
QC, OrdD, 350000, 6213606, 1181783, 6935
QC, OrdD, 400000, 7200034, 1386426, 8397
QC, OrdD, 450000, 8100034, 1461426, 8580
QC, OrdD, 500000, 9000034, 1536426, 9682
QM3, Ale, 50000, 1042066, 598323, 3910
QM3, Ale, 100000, 2209802, 1267654, 8360
QM3, Ale, 150000, 3454240, 1959222, 12761
QM3, Ale, 200000, 4734081, 2667877, 17313
QM3, Ale, 250000, 6023550, 3396012, 22038
QM3, Ale, 300000, 7344790, 4127130, 26827
QM3, Ale, 350000, 8595224, 4872817, 32467
QM3, Ale, 400000, 9924834, 5627774, 39587
QM3, Ale, 450000, 11232295, 6387836, 41557
QM3, Ale, 500000, 12720042, 7137940, 46710
QM3, OrdC, 50000, 750015, 98301, 710
QM3, OrdC, 100000, 1600016, 196605, 1501
QM3, OrdC, 150000, 2456803, 253392, 2189
QM3, OrdC, 200000, 3400017, 393213, 3146
QM3, OrdC, 250000, 4250017, 393213, 3709
QM3, OrdC, 300000, 5213588, 506784, 4584
QM3, OrdC, 350000, 6213588, 656783, 5585
QM3, OrdC, 400000, 7200018, 786428, 6630
QM3, OrdC, 450000, 8100018, 786428, 7253
QM3, OrdC, 500000, 9000018, 786428, 7841
QM3, OrdD, 50000, 750028, 173297, 746
QM3, OrdD, 100000, 1600030, 346601, 1561
QM3, OrdD, 150000, 2456820, 478391, 2279
QM3, OrdD, 200000, 3400032, 693210, 3277
QM3, OrdD, 250000, 4250032, 768210, 3832
QM3, OrdD, 300000, 5213606, 956783, 4786
QM3, OrdD, 350000, 6213606, 1181783, 5829
QM3, OrdD, 400000, 7200034, 1386426, 6910
QM3, OrdD, 450000, 8100034, 1461426, 7500
QM3, OrdD, 500000, 9000034, 1536426, 8288
QI1, Ale, 50000, 4746126, 4550807, 5490
QI1, Ale, 100000, 17944573, 17567635, 17249
QI1, Ale, 150000, 39702320, 39114156, 35195
QI1, Ale, 200000, 68827082, 68080790, 58900
QI1, Ale, 250000, 109432347, 108473285, 90639
QI1, Ale, 300000, 156265575, 155108728, 127459
QI1, Ale, 350000, 210732245, 209354121, 170725
QI1, Ale, 400000, 274577516, 273070774, 217938
QI1, Ale, 450000, 350002622, 348252998, 276211
QI1, Ale, 500000, 429467553, 427606888, 339288
QI1, OrdC, 50000, 399879, 50253, 327
QI1, OrdC, 100000, 799879, 100253, 589
QI1, OrdC, 150000, 1199879, 150254, 867
QI1, OrdC, 200000, 1599879, 200254, 1162
QI1, OrdC, 250000, 1999879, 250254, 1456
QI1, OrdC, 300000, 2399879, 300254, 1752
QI1, OrdC, 350000, 2799879, 350254, 2052
QI1, OrdC, 400000, 3199879, 400254, 2339
QI1, OrdC, 450000, 3599879, 450254, 2628
QI1, OrdC, 500000, 3999879, 500254, 2926
QI1, OrdD, 50000, 399885, 125252, 331
QI1, OrdD, 100000, 799885, 250252, 645
QI1, OrdD, 150000, 1199885, 375251, 979
QI1, OrdD, 200000, 1599885, 500251, 1306
QI1, OrdD, 250000, 1999885, 625251, 1656
QI1, OrdD, 300000, 2399885, 750251, 1990
QI1, OrdD, 350000, 2799885, 875251, 2315
QI1, OrdD, 400000, 3199885, 1000251, 2642
QI1, OrdD, 450000, 3599885, 1125251, 2982
QI1, OrdD, 500000, 3999885, 1250252, 3326
QI5, Ale, 50000, 21966747, 21841350, 17751
QI5, Ale, 100000, 84707014, 84444696, 65334
QI5, Ale, 150000, 191178018, 190770701, 146487
QI5, Ale, 200000, 336144037, 335626020, 252522
QI5, Ale, 250000, 528039862, 527364524, 398703
QI5, Ale, 300000, 759467224, 758670312, 575989
QI5, Ale, 350000, 1038250739, 1037342288, 780085
QI5, Ale, 400000, 1373743926, 1372728485, 1027767
QI5, Ale, 450000, 1708181847, 1707027999, 1259267
QI5, Ale, 500000, 2147029089, 2145662755, 1599706
QI5, OrdC, 50000, 299973, 50061, 227
QI5, OrdC, 100000, 599973, 100062, 463
QI5, OrdC, 150000, 899973, 150062, 695
QI5, OrdC, 200000, 1199973, 200062, 932
QI5, OrdC, 250000, 1499973, 250062, 1180
QI5, OrdC, 300000, 1799973, 300062, 1404
QI5, OrdC, 350000, 2099973, 350061, 1638
QI5, OrdC, 400000, 2399973, 400061, 1884
QI5, OrdC, 450000, 2699973, 450061, 2106
QI5, OrdC, 500000, 2999973, 500061, 2361
QI5, OrdD, 50000, 299977, 125060, 263
QI5, OrdD, 100000, 599977, 250060, 532
QI5, OrdD, 150000, 899977, 375060, 803
